cupsid,valuation,shares,filedFor,cik,ticker
80105N10,13139,350000,2008-03-31,1121404,SNY
86791410,129281,2344600,2008-03-31,750556,
86791410,47420,860000,2008-03-31,750556,
89102710,4662,77551,2008-03-31,320335,GL
89102710,27033,449728,2008-03-31,320335,GL
89102710,99596,1656900,2008-03-31,320335,GL
89102710,38452,639700,2008-03-31,320335,GL
89289310,500397,10901900,2008-03-31,836102,
90297330,754224,23307300,2008-03-31,36104,USB
90297330,911692,28173426,2008-03-31,36104,USB
90297330,270691,8365000,2008-03-31,36104,USB
90297330,157473,4866300,2008-03-31,36104,USB
90297330,70351,2174000,2008-03-31,36104,USB
90297330,56468,1745000,2008-03-31,36104,USB
90329340,628598,17072192,2008-03-31,757011,
90781810,558317,4453000,2008-03-31,100885,UNP
91131210,104360,1429200,2008-03-31,809697,UPS
91324P10,219904,6400000,2008-03-31,731766,UNH
92927K10,123174,2700000,2008-03-31,1390844,WBC1EUR
93114210,1000830,18998300,2008-03-31,104169,WMT
93114210,49835,946000,2008-03-31,104169,WMT
93964010,591582,894304,2008-03-31,104889,
93964010,98108,148311,2008-03-31,104889,
93964010,428761,648165,2008-03-31,104889,
93964010,24466,36985,2008-03-31,104889,
94974610,1556542,53489420,2008-03-31,105598,WFC
94974610,367917,12643200,2008-03-31,105598,WFC
94974610,1114909,38313040,2008-03-31,105598,WFC
94974610,81131,2788000,2008-03-31,105598,WFC
94974610,29100,1000000,2008-03-31,105598,WFC
94974610,3771112,129591488,2008-03-31,105598,WFC
94974610,46842,1609720,2008-03-31,105598,WFC
94974610,49470,1700000,2008-03-31,105598,WFC
94974610,23862,820000,2008-03-31,105598,WFC
94974610,582000,20000000,2008-03-31,105598,WFC
94974610,465600,16000000,2008-03-31,105598,WFC
94974610,232806,8000000,2008-03-31,105598,WFC
94974610,78570,2700000,2008-03-31,105598,WFC
94974610,58200,2000000,2008-03-31,105598,WFC
949773V10,211824,4800000,2008-03-31,1156039,
95081710,2304047,5703087,2008-03-31,105729,
50075N10,2452829,69583800,2007-06-30,1103982,
50075N10,3192665,92514200,2007-09-30,1103982,
50075N10,161738,4686700,2007-09-30,1103982,
50075N10,345100,10000000,2007-09-30,1103982,
02581610,896065,17225400,2007-12-31,922812,AXP
02581610,415881,7994634,2007-12-31,922812,AXP
02581610,6255711,120255879,2007-12-31,922812,AXP
02581610,101080,1943100,2007-12-31,922812,AXP
02581610,72813,1399713,2007-12-31,922812,AXP
02581610,43688,839832,2007-12-31,922812,AXP
02581610,101550,1952142,2007-12-31,922812,AXP
03076C10,15428,279942,2007-12-31,820027,A4S
03076C10,21041,381800,2007-12-31,820027,A4S
03522910,1861378,35371000,2007-12-31,310569,
03522910,10060,192200,2007-12-31,310569,
06050510,375466,9100000,2007-12-31,70858,BAC
12189T10,5062783,60828818,2007-12-31,315066,
14313010,414750,21000000,2007-12-31,1170010,KMX
19121610,24548,400000,2007-12-31,21344,KO
19121610,108993,1776000,2007-12-31,21344,KO
19121610,442208,7205600,2007-12-31,21344,KO
19121610,2463490,40141600,2007-12-31,21344,KO
19121610,8588461,139945600,2007-12-31,21344,KO
19121610,560873,9139200,2007-12-31,21344,KO
